번호,항목,외부 SaaS 5년 비용 (억원),SaaS 근거 출처,자체 개발 5년 비용 (억원),자체 개발 계산식 + 우리 코드 증거,절감 효과 (억원)
1,검색·인덱스·로그 (Elastic Enterprise),4.0,"$5K/월 base × 60월 + storage ≈ $300K (1300원 환율). 출처: Pulse Support, CheckThat.ai, Vendr — https://pulse.support/kb/elastic-cloud-pricing-guide ; https://checkthat.ai/brands/elastic/pricing ; https://www.vendr.com/marketplace/elastic",0.05,"PostgreSQL FTS + pgvector HNSW 이미 구현 (search_svc.py:91 tsvector + alembic 0018:16-21 HNSW m=16 ef=64). Grafana 시각화만 1주 추가 인건비 500만원",3.95
2,벡터 DB (Pinecone Enterprise),1.2,"$500/월 minimum + $1K 사용량 = $1.5K/월 × 60월 = $90K. 출처: Pinecone 공식, PE Collective, Costbench — https://www.pinecone.io/pricing/ ; https://pecollective.com/tools/pinecone-pricing/ ; https://costbench.com/software/vector-databases/pinecone/",0.0,"pgvector HNSW (m=16 ef=64) 이미 동등 구현 (alembic 0018). 768d e5-base embedder 운영 중 (alembic 0013). namespace=team/group/agents 필드. metadata filter=SQL WHERE 절. 추가 작업 0",1.2
3,RAG 평가·운영 (LangSmith Enterprise),8.0,"Enterprise 협상가 $3K~$5K/월 + seats = 5년 6~10억 중간값. 출처: LangChain 공식, CheckThat.ai, MarginDash — https://www.langchain.com/pricing ; https://checkthat.ai/brands/langsmith/pricing ; https://margindash.com/langsmith-pricing",0.3,"mcp_logging.py JSONL trace + Agent.system_prompt (models.py:374) + agents_history 감사 테이블 (models.py:440) 이미 있음. prompt eval/replay/A-B UI 3~4주 추가 인건비 3000만원",7.7
4,APM·모니터링 (Datadog APM Enterprise),3.3,"APM 50호스트 × $47 × 60월 = $141K + 로그 1TB/월 × $0.10/GB × 60월 = $61K + 메트릭 $50K = $252K. 출처: Datadog 공식, Costbench — https://www.datadoghq.com/pricing/ ; https://costbench.com/software/error-tracking/datadog-apm/",0.1,"Prometheus 메트릭 이미 라이브 (/metrics endpoint). middleware/metrics.py:3-4 http_requests_total Counter + http_request_duration_seconds Histogram. Grafana + Loki + AlertManager 2주 도입 1000만원 (오픈소스 무료)",3.2
5,코드 AI (GitHub Copilot Enterprise),30.0,"1000 user × $39/월 × 60월 = $2.34M ≈ 30억원. 2026-06 token-based 전환 예정. 출처: GitHub 공식, MS Docs, GitHub Blog — https://github.com/features/copilot/plans ; https://docs.github.com/en/copilot/get-started/plans ; https://github.blog/news-insights/company-news/github-copilot-is-moving-to-usage-based-billing/",0.0,"사내 Llama 3.3 70B + 우리 MCP backend 가 코드 도움 제공. extension 0.17.0 에 Continue/Cursor/Cline/RooCode/Windsurf 5 클라이언트 자동 등록. 추가 비용 0 (LLM 서빙 항목 #7에 포함)",30.0
6,외부 협업 도구 federation (Slack/Confluence/GitHub/Jira MCP),0.0,"Slack Enterprise+ $26.18/user × 60월 × 1000 = $1.57M ≈ 20억 (참고). 회사가 이미 Slack 구독 중이라 신규 비용 0 가정. 출처: Vendr 535건 실데이터 — https://www.vendr.com/blog/slack-pricing-what-it-costs-in-2026-real-enterprise-data",0.1,"Wave-6 P1 federation 인프라 완료 (alembic 0023_mcp_upstreams.py — mcp_upstreams + mcp_proxy_calls 테이블). stdio transport P2 2~3주 추가 1000만원 → Slack/Confluence/GitHub 공식 MCP 무료 통합",-0.1
7,LLM API 호출 → 사내 LLM 서빙 (Llama 3.3 70B + vLLM),12.0,"1000명 × 30 query/일 × 700 active × 22일 = 월 63만 쿼리. 5K input + 1K output 평균. caching 70% 적용 시 월 약 $13K → 5년 약 $780K ≈ 약 10~13억 중간값. Claude Sonnet 4.6 $3/M input $15/M output. 출처: Anthropic 공식, PE Collective — https://platform.claude.com/docs/en/about-claude/pricing ; https://pecollective.com/tools/anthropic-api-pricing/",6.5,"GPU HW: DGX HGX H100 × 4 GPU 1 노드 = 3억 (한국 유통 H100 약 5000만/장, 출처 Spheron https://www.spheron.network/blog/best-nvidia-gpus-for-llms/). 전력 10kW × 8760h × 150원 × 5년 = 0.65억. 운영 인력 0.5 FTE × 1억 × 5년 = 2.5억. 합계 6.15억. vLLM 0.39 J/token 10K tok/s (SitePoint https://www.sitepoint.com/self-hosted-llm-costs-2026/). Llama 3.3 70B FP8 self-host (Medium https://abhinand05.medium.com/self-hosting-llama-3-1-70b-or-any-70b-llm-affordably-2bd323d72f8d)",5.5
8,Data Hub 본체 SW (자체 IP 구축),6.0,"외부 SI 발주 추정 — 사내 IP 없음. FP 1000 × 65만원 = 6.5억 (사내 60% 디스카운트 = 약 4억 개발 + 유지보수 2억). 정부 SW 사업대가 기준",12.0,"Y1 시범 도입 5억 + Y2 확산 3억 + Y3~5 운영 4억 = 12억. v0.7.0 / extension 0.17.0 production. 신규 endpoint 14개, alembic 5개, 215 test PASS. 자체 IP 100% 보유 (git log --since=2026-05-22)",-6.0
9,인프라 HW (서버 5~10대),1.5,"양쪽 공통 - PG + API + Redis + 백업 서버. 비교 대상 없음",1.5,"동일",0.0
,합계,66.0,,20.55,,45.45
